question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,colbertv2,agglo_k5,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[4536, 6637, 14371, 13379, 25642]",0.5,0.25,0.6684663891792297,0.0,,,0.0,0.0,0.0,OK,
1,1,colbertv2,agglo_k5,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[14075, 2917, 9006, 2219, 24465]",1.0,0.5,0.6824265718460083,0.0,,,0.0,0.0,0.0,OK,
2,2,colbertv2,agglo_k5,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[5308, 9985, 20848, 19617, 13521]",0.5,0.3333333333333333,0.6150856614112854,0.0,,,0.0,0.0,0.0,OK,
3,3,colbertv2,agglo_k5,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[5755, 20064, 12797, 25355, 23563]",0.5,0.3333333333333333,0.7291899919509888,0.0,,,0.0,0.0,0.0,OK,
4,4,colbertv2,agglo_k5,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[21400, 18440, 17083, 15315, 6272]",0.5,0.3333333333333333,0.6806738972663879,0.0,,,0.0,0.0,0.0,OK,
5,5,colbertv2,agglo_k5,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 24397, 22877, 5080, 11045]",0.5,1.0,0.7264977693557739,0.0,,,0.0,0.0,0.0,OK,
6,6,colbertv2,agglo_k5,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[2753, 10509, 2904, 13665, 21530]",0.5,1.0,0.6501184701919556,0.0,,,0.0,0.0,0.0,OK,
7,7,colbertv2,agglo_k5,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[25852, 6664, 24161, 19285, 14720]",1.0,0.3333333333333333,0.6370562314987183,0.0,,,0.0,0.0,0.0,OK,
8,8,colbertv2,agglo_k5,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 1698, 25825, 2544, 11589]",1.0,1.0,0.625880241394043,0.0,,,0.0,0.0,0.0,OK,
9,9,colbertv2,agglo_k5,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[13962, 23502, 4902, 1873, 1805]",0.5,0.3333333333333333,0.715181827545166,0.0,,,0.0,0.0,0.0,OK,
10,10,colbertv2,agglo_k5,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[486, 23926, 7425, 4705, 13179]",0.5,0.5,0.7828071117401123,0.0,,,0.0,0.0,0.0,OK,
11,11,colbertv2,agglo_k5,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[7044, 12748, 3898, 15218, 18487]",0.5,0.5,0.7246948480606079,0.0,,,0.0,0.0,0.0,OK,
12,12,colbertv2,agglo_k5,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[5411, 2259, 7382, 24876, 4524]",0.5,0.25,0.6626406908035278,0.0,,,0.0,0.0,0.0,OK,
13,13,colbertv2,agglo_k5,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[19971, 23227, 3015, 24963, 25392]",0.5,0.5,0.7477339506149292,0.0,,,0.0,0.0,0.0,OK,
