question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,kmeans_k2,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[22041, 13379, 25308, 13366, 21976]",0.5,0.5,0.5761482119560242,0.0,,,0.0,0.0,0.0,OK,
1,1,dpr,kmeans_k2,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[98, 3539, 6208, 6057, 9086]",0.0,0.0,0.724410891532898,0.0,,,0.0,0.0,0.0,OK,
2,2,dpr,kmeans_k2,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 11231, 11616, 8822, 5958]",1.0,1.0,0.4900205731391907,0.0,,,0.0,0.0,0.0,OK,
3,3,dpr,kmeans_k2,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[6410, 12797, 5755, 3736, 21957]",0.5,0.5,0.6699070334434509,0.0,,,0.0,0.0,0.0,OK,
4,4,dpr,kmeans_k2,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[14118, 18264, 15876, 24836, 25693]",0.0,0.0,0.6659790277481079,0.0,,,0.0,0.0,0.0,OK,
5,5,dpr,kmeans_k2,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[19282, 15673, 4375, 24397, 20061]",1.0,0.5,0.618940532207489,0.0,,,0.0,0.0,0.0,OK,
6,6,dpr,kmeans_k2,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[2753, 9607, 4824, 2764, 10701]",1.0,1.0,0.5534056425094604,0.0,,,0.0,0.0,0.0,OK,
7,7,dpr,kmeans_k2,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[19285, 24117, 17184, 13253, 24161]",1.0,1.0,0.6373206377029419,0.0,,,0.0,0.0,0.0,OK,
8,8,dpr,kmeans_k2,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 11594, 1698, 8163, 24409]",1.0,1.0,0.45525479316711426,0.0,,,0.0,0.0,0.0,OK,
9,9,dpr,kmeans_k2,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[10537, 18923, 4902, 3650, 6176]",0.5,0.3333333333333333,0.6508795619010925,0.0,,,0.0,0.0,0.0,OK,
