question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,bm25,mmr_0.75,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[7304, 13379, 13366, 18062, 4600]",1.0,1.0,0.4879097044467926,0.9604060053825378,qwen3.5-122b,"Based on the provided context, the pieces by Ludwig van Beethoven published in 1801 and dedicated to Count Moritz von Fries are:

*   **Violin Sonata No. 5 in F major, Opus 24** (often known as the ""Spring Sonata"")
*   **C major string quintet**
*   **Fourth violin sonata**

Document 2 states that the Violin Sonata No. 5 was published in 1801 and its dedicatee was Count Moritz von Fries, noting that Beethoven also dedicated the C major string quintet and the fourth violin sonata to him in the same year.",0.0,0.0,0.0,OK,
1,1,bm25,mmr_0.75,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2917, 1905, 17927, 9549, 13201]",0.5,1.0,0.6653108596801758,0.04127773270010948,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
2,2,bm25,mmr_0.75,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[20848, 3378, 3200, 10723, 4177]",0.5,1.0,0.6902341842651367,0.02343963272869587,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
3,3,bm25,mmr_0.75,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[12797, 11513, 20211, 11318, 23108]",0.5,1.0,0.6889377236366272,0.9996500611305237,qwen3.5-122b,"Based on the provided context, Alvaro Mexia had a diplomatic mission with the **Ais** native population.",0.0,0.0,0.0,OK,
4,4,bm25,mmr_0.75,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[17083, 13664, 2050, 21400, 12115]",1.0,1.0,0.6193572282791138,0.9768987894058228,qwen3.5-122b,"Based on the provided context, Reima Juhani Karppinen won a silver medal in the **double sculls** event at the **1981 World Rowing Championships**, which were held outside Munich, Germany.",0.0,0.0,0.0,OK,
5,5,bm25,mmr_0.75,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[15673, 24706, 17790, 13960, 25281]",0.5,1.0,0.6802604794502258,0.03528808802366257,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
6,6,bm25,mmr_0.75,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[4824, 2753, 22257, 21202, 6577]",1.0,1.0,0.4592370092868805,0.778238832950592,qwen3.5-122b,"Based on the provided context, the **Nusretiye Mosque** is the one unique for retaining a Baroque style of architecture.

Document 2 states that the Nusretiye Mosque ""retains a Baroque style, making it unique to the city,"" whereas Document 1 describes the Bayezid II Mosque simply as an Ottoman imperial mosque without mentioning a Baroque style.",0.0,0.0,0.0,OK,
7,7,bm25,mmr_0.75,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[24161, 10574, 6664, 9076, 6198]",0.5,1.0,0.6489135026931763,0.9966578483581543,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
8,8,bm25,mmr_0.75,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[16868, 24409, 5025, 1662, 20568]",0.5,1.0,0.4908503592014313,0.026638491079211235,qwen3.5-122b,"The University of North Carolina at Wilmington (UNCW) is located in Wilmington, North Carolina, United States. However, the provided context does not mention the population of Wilmington being 112,067.",0.0,0.0,0.0,OK,
9,9,bm25,mmr_0.75,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[4902, 21750, 5508, 22471, 2818]",1.0,1.0,0.727758526802063,0.39982277154922485,qwen3.5-122b,"Based on the provided context, Gail Matthius co-anchored the Weekend Update segment with **Charles Rocket** (Document 1). Document 2 states that Charles Rocket played the villain **Nicholas Andre** in the film **""Dumb and Dumber""**.

Answer: Dumb and Dumber",0.0,0.0,0.0,OK,
10,10,bm25,mmr_0.75,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[19993, 8352, 21249, 13608, 23926]",0.5,0.2,0.6984724998474121,0.09831742197275162,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
