question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,dpr,dpp_seed2,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[6294, 672, 2124, 13366, 18062]",0.0,0.0,0.5569944977760315,0.0,,,0.0,0.0,0.0,OK,
1,1,dpr,dpp_seed2,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[6208, 24239, 17813, 98, 24464]",0.0,0.0,0.7062063217163086,0.0,,,0.0,0.0,0.0,OK,
2,2,dpr,dpp_seed2,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[11616, 6288, 261, 20848, 24516]",0.5,0.25,0.6393316984176636,0.0,,,0.0,0.0,0.0,OK,
3,3,dpr,dpp_seed2,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[21957, 13775, 8952, 1814, 5755]",0.0,0.0,0.7142229080200195,0.0,,,0.0,0.0,0.0,OK,
4,4,dpr,dpp_seed2,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[20325, 18538, 14118, 18264, 6564]",0.0,0.0,0.6261706948280334,0.0,,,0.0,0.0,0.0,OK,
5,5,dpr,dpp_seed2,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[20061, 12239, 24492, 15673, 24397]",0.5,0.25,0.6873151659965515,0.0,,,0.0,0.0,0.0,OK,
6,6,dpr,dpp_seed2,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[10701, 21624, 28, 14707, 10509]",0.0,0.0,0.5801774263381958,0.0,,,0.0,0.0,0.0,OK,
7,7,dpr,dpp_seed2,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[24117, 23852, 24260, 19285, 2409]",0.5,0.25,0.7333120107650757,0.0,,,0.0,0.0,0.0,OK,
8,8,dpr,dpp_seed2,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[11594, 24769, 5025, 8163, 2544]",0.0,0.0,0.649619460105896,0.0,,,0.0,0.0,0.0,OK,
9,9,dpr,dpp_seed2,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[6176, 6748, 1805, 3842, 6403]",0.0,0.0,0.6186841130256653,0.0,,,0.0,0.0,0.0,OK,
10,10,dpr,dpp_seed2,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[18973, 19224, 16366, 24811, 8799]",0.0,0.0,0.697135329246521,0.0,,,0.0,0.0,0.0,OK,
11,11,dpr,dpp_seed2,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[13642, 12840, 13401, 19460, 24458]",0.5,0.25,0.6411858797073364,0.0,,,0.0,0.0,0.0,OK,
12,12,dpr,dpp_seed2,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[4524, 11032, 6340, 24876, 1039]",0.5,0.25,0.6604130864143372,0.0,,,0.0,0.0,0.0,OK,
13,13,dpr,dpp_seed2,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[23227, 21622, 2174, 3718, 1804]",0.5,1.0,0.6890373229980469,0.0,,,0.0,0.0,0.0,OK,
14,14,dpr,dpp_seed2,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13264, 18961, 5353, 23253, 18901]",0.5,1.0,0.5925413370132446,0.0,,,0.0,0.0,0.0,OK,
15,15,dpr,dpp_seed2,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[1492, 14011, 16694, 4545, 11989]",0.5,0.25,0.6927021741867065,0.0,,,0.0,0.0,0.0,OK,
16,16,dpr,dpp_seed2,which board game has been around longer Obsession or Battle Sheep ?,5a733caa5542992359bc32a3,"[15389, 19341]","[15389, 10613, 23532, 13894, 11003]",0.5,1.0,0.6567322015762329,0.0,,,0.0,0.0,0.0,OK,
