question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,contriever,dpp_seed3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[13366, 22717, 13379, 1086, 12189]",0.5,0.3333333333333333,0.5382968187332153,0.0,,,0.0,0.0,0.0,OK,
1,1,contriever,dpp_seed3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[13598, 1897, 2219, 5546, 25565]",0.5,0.3333333333333333,0.5787393450737,0.0,,,0.0,0.0,0.0,OK,
2,2,contriever,dpp_seed3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[15070, 14432, 11883, 12397, 6321]",0.0,0.0,0.5736509561538696,0.0,,,0.0,0.0,0.0,OK,
3,3,contriever,dpp_seed3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[7636, 21395, 12149, 2268, 17087]",0.0,0.0,0.6905719041824341,0.0,,,0.0,0.0,0.0,OK,
4,4,contriever,dpp_seed3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[19456, 23010, 21326, 984, 22193]",0.0,0.0,0.5658795237541199,0.0,,,0.0,0.0,0.0,OK,
5,5,contriever,dpp_seed3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[20640, 15673, 4375, 5090, 11904]",1.0,0.5,0.5614814162254333,0.0,,,0.0,0.0,0.0,OK,
6,6,contriever,dpp_seed3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[21624, 2753, 24612, 10701, 13665]",0.5,0.5,0.520504355430603,0.0,,,0.0,0.0,0.0,OK,
7,7,contriever,dpp_seed3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[24161, 13918, 5293, 24677, 3121]",0.5,1.0,0.6447120904922485,0.0,,,0.0,0.0,0.0,OK,
8,8,contriever,dpp_seed3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[20695, 11594, 14656, 1662, 8163]",0.0,0.0,0.6345919370651245,0.0,,,0.0,0.0,0.0,OK,
9,9,contriever,dpp_seed3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[20272, 20652, 18510, 6176, 13086]",0.0,0.0,0.6128935813903809,0.0,,,0.0,0.0,0.0,OK,
