question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,bm25,dpp_seed3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[7304, 21088, 22703, 10280, 2124]",0.5,1.0,0.6777335405349731,0.0,,,0.0,0.0,0.0,OK,
1,1,bm25,dpp_seed3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2917, 20423, 24553, 16632, 24326]",0.5,1.0,0.722273588180542,0.0,,,0.0,0.0,0.0,OK,
2,2,bm25,dpp_seed3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[19750, 609, 3378, 17835, 4177]",0.0,0.0,0.6976535320281982,0.0,,,0.0,0.0,0.0,OK,
3,3,bm25,dpp_seed3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[8576, 10385, 11513, 20089, 18655]",0.0,0.0,0.6033279299736023,0.0,,,0.0,0.0,0.0,OK,
4,4,bm25,dpp_seed3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[17083, 12693, 4164, 13149, 10713]",0.5,1.0,0.6654321551322937,0.0,,,0.0,0.0,0.0,OK,
5,5,bm25,dpp_seed3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[11166, 15656, 10497, 13960, 22735]",0.0,0.0,0.7263346910476685,0.0,,,0.0,0.0,0.0,OK,
6,6,bm25,dpp_seed3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[4824, 10509, 14960, 18690, 8360]",0.5,1.0,0.5517479181289673,0.0,,,0.0,0.0,0.0,OK,
7,7,bm25,dpp_seed3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[17613, 17246, 18808, 9076, 17725]",0.0,0.0,0.6790463924407959,0.0,,,0.0,0.0,0.0,OK,
8,8,bm25,dpp_seed3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[19863, 24096, 5485, 24409, 1546]",0.0,0.0,0.6674965023994446,0.0,,,0.0,0.0,0.0,OK,
9,9,bm25,dpp_seed3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[4902, 19817, 25052, 18268, 11908]",0.5,1.0,0.6816820502281189,0.0,,,0.0,0.0,0.0,OK,
10,10,bm25,dpp_seed3,Which author wrote about a woman captured by the Symbionese Liberation Army?,5a729cc25542991f9a20c532,"[25934, 23926]","[20276, 24046, 21249, 13635, 8352]",0.0,0.0,0.6975245475769043,0.0,,,0.0,0.0,0.0,OK,
11,11,bm25,dpp_seed3,What is the name of the pop artist that belongs on the Pledis Entertainment label and has 13 members?,5a72d7b35542991f9a20c5be,"[12748, 19460]","[24906, 15218, 12748, 17447, 24436]",0.5,0.3333333333333333,0.7652877569198608,0.0,,,0.0,0.0,0.0,OK,
12,12,bm25,dpp_seed3,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",5a7300b85542994cef4bc41a,"[24876, 25491]","[24876, 25949, 2829, 2705, 23172]",0.5,1.0,0.6382789015769958,0.0,,,0.0,0.0,0.0,OK,
13,13,bm25,dpp_seed3,"In the television series Green Hornet, which actor played the role of Kato?",5a7326cd5542991f29ee2d11,"[9131, 23227]","[6991, 23116, 24442, 20278, 19574]",0.0,0.0,0.6510686874389648,0.0,,,0.0,0.0,0.0,OK,
14,14,bm25,dpp_seed3,"Lady Elizabeth Delmé and Her Children (1779) is a portrait given to the National Gallery of Art in 1937, which is located in which state?",5a7336d05542992359bc3293,"[13264, 13967]","[13264, 9304, 12541, 12635, 25332]",0.5,1.0,0.6447874903678894,0.0,,,0.0,0.0,0.0,OK,
15,15,bm25,dpp_seed3,"Which movie is loosley based off the Brother Grimm's ""Iron Henry""?",5a733b835542991f9a20c6b2,"[23633, 4545]","[3045, 22752, 24608, 19280, 3798]",0.0,0.0,0.6475445032119751,0.0,,,0.0,0.0,0.0,OK,
