question_index,qa_id,retriever,condition,question,beir_query_id,gold_doc_ids,retrieved_doc_ids,recall_at_k,mrr,retrieval_diversity,faithfulness_nli,llm_model,prediction,exact_match,f1,rouge_l,row_status,row_error
0,0,colbertv2,kmeans_k3,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries?,5a70f1685542994082a3e40f,"[13379, 7304]","[6637, 25642, 13379, 15250, 8654]",0.5,0.3333333333333333,0.6756971478462219,0.9938099384307861,qwen3.5-122b,"Based on the provided context, the piece Ludwig van Beethoven published in 1801 that was dedicated to Count Moritz von Fries is the **Violin Sonata No. 5 in F major, Opus 24** (often known as the ""Spring Sonata"").

The text also notes that Beethoven dedicated two other works of the same year to Count Moritz von Fries: the **C major string quintet** and the **fourth violin sonata**.",0.0,0.0,0.0,OK,
1,1,colbertv2,kmeans_k3,"Which of these men, Scott Treleaven and Edmund Mortimer, is credited with working in both films and photography?",5a710a915542994082a3e504,"[2917, 2219]","[2917, 2219, 9006, 14075, 24465]",1.0,1.0,0.6824265718460083,0.03040642850100994,qwen3.5-122b,"Based on the provided context, **Scott Treleaven** is the one credited with working in both films and photography.

Document 1 states that Scott Treleaven's work employs a variety of media including ""film"" and ""photography."" Document 2 states that Edmund Mortimer was an ""actor and film director"" but does not mention photography.",0.0,0.0,0.0,OK,
2,2,colbertv2,kmeans_k3,Albanians in Montenegro which make up 4.91 of the county's total population could be members of the Albanian Coalation Perspect which is a what?,5a711c535542994082a3e59b,"[5958, 20848]","[11616, 9985, 20848, 7713, 5295]",0.5,0.3333333333333333,0.621065616607666,0.016556572169065475,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
3,3,colbertv2,kmeans_k3,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,5a713ea95542994082a3e6e4,"[12797, 7948]","[20064, 5755, 12797, 4731, 12536]",0.5,0.3333333333333333,0.6805241107940674,0.9996500611305237,qwen3.5-122b,"Based on the provided context, Alvaro Mexia had a diplomatic mission with the **Ais** native population.",0.0,0.0,0.0,OK,
4,4,colbertv2,kmeans_k3,"Riema Juhani Karppinen won the silver medal at what event held outside of Munich, Germany?",5a71419f5542994082a3e70d,"[17083, 12115]","[18440, 21400, 17083, 721, 4431]",0.5,0.3333333333333333,0.6630779504776001,0.9392887949943542,qwen3.5-122b,"Based on the provided context, Reima Juhani Karppinen won a silver medal at the **1981 World Rowing Championships**.

(Note: The context does not explicitly state the location of the 1981 World Rowing Championships or mention Munich, Germany, but it is the only event mentioned where he won a silver medal.)",0.0,0.0,0.0,OK,
5,5,colbertv2,kmeans_k3,When was the king that started coin production in Copenhagen born?,5a7147fd5542994082a3e758,"[15673, 4375]","[4375, 23380, 15673, 919, 19282]",1.0,1.0,0.6304991245269775,0.8100433945655823,qwen3.5-122b,"Based on the provided context, the first king to start a production of coins in Copenhagen was King Hans (also known as John). According to Document 1, he was born on **2 February 1455**.",0.0,0.0,0.0,OK,
6,6,colbertv2,kmeans_k3,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",5a7153d05542994082a3e7dc,"[4824, 2753]","[14960, 18690, 2753, 6577, 13205]",0.5,0.3333333333333333,0.5470141172409058,0.20768508315086365,qwen3.5-122b,"Based on the provided context, the **Nusretiye Mosque** is the one unique for retaining a Baroque style of architecture.

Document 3 states: ""Nusretiye Mosque is an ornate mosque located in Tophane district of Beyoğlu, Istanbul, Turkey. While its architecture is influenced by Islamic elements, it retains a Baroque style, making it unique to the city."" The context does not mention the Bayezid II Mosque.",0.0,0.0,0.0,OK,
7,7,colbertv2,kmeans_k3,"Which publication still relies on paper printing, Human Events or Texas Highways?",5a7199725542994082a3e88f,"[24161, 19285]","[11005, 20766, 19285, 15046, 3871]",0.5,0.3333333333333333,0.6887742877006531,0.061958178877830505,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
8,8,colbertv2,kmeans_k3,"Where is the University of North Carolina at Wilmington, population 112,067 located?",5a7243915542990c210a4086,"[16868, 1698]","[25825, 11589, 16868, 22390, 5025]",0.5,0.3333333333333333,0.620416522026062,0.4663810431957245,qwen3.5-122b,"Based on the provided context, the University of North Carolina at Wilmington (UNCW) is located in **Wilmington, North Carolina, United States**.

(Note: The provided text in Document 3 confirms the location of the university but does not mention the population figure of 112,067.)",0.0,0.0,0.0,OK,
9,9,colbertv2,kmeans_k3,"Gail Matthius co-anchored the Weekend Update segment of ""Saturday Night Live"" with the actor who played the villain Nicholas Andre in what movie?",5a728f505542992359bc30f5,"[4902, 21750]","[13962, 1873, 4902, 25085, 4811]",0.5,0.3333333333333333,0.7550182342529297,0.08439145237207413,qwen3.5-122b,I cannot answer this based on the provided context.,0.0,0.0,0.0,OK,
